gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj
SPTBN5,-0.09354132227995007,0.18225263829601945,-0.513250854168804,0.0,0.6091456457072005,0.8341608306448421,0.7236531893203215,0.9972311548296766
GCOM1,0.08280557107433709,0.32008088508372645,0.25870201856220465,0.0,0.7965081637981685,0.9213842730266275,0.8800264970127019,0.9972311548296766
BRDT,-0.19515649444906225,0.14070747454972932,-1.3869660803278037,0.0,0.1693191331148208,0.460266641449848,0.3563614319486781,0.9929473921768639
SLC44A5,-0.06350558552564847,0.08114020984985584,-0.782664792747776,0.0,0.4361531407734196,0.7221615107035881,0.5965920529442797,0.9972311548296766
DNASE2B,-0.11709857403693515,0.2013957123856916,-0.5814352880198385,0.0,0.5627184018568212,0.8078238878849603,0.6906802579333062,0.9972311548296766
CGREF1,0.07226837357449217,0.07232037266430433,0.9992809897419428,0.0,0.3209432613353829,0.6266804863005133,0.5260942485886205,0.9972311548296766
LHCGR,0.1624047741867417,0.23519532938469584,0.6905102010810142,0.0,0.4920078214156004,0.7627555170963148,0.6651375004287425,0.9972311548296766
SULT6B1,-0.22367567103314137,0.23359711255156443,-0.9575275507044935,0.0,0.3410819334238022,0.6440365074026266,0.5199898384880408,0.9972311548296766
SLC5A6,-0.0026694872889073224,0.09061569315738718,-0.029459436835855623,0.0,0.9765697405139975,0.9896465226211576,0.9701361288102117,0.9973902057670463
ABCG5,-0.07957144169144935,0.1734159162313676,-0.45884739659817,0.0,0.6478531487238539,0.8531485381968321,0.7506496909824109,0.9972311548296766
SLC3A1,-0.6443823053973472,0.10114505497359332,-6.370873055193661,0.0,1.0230353744178037e-08,1.4268224462840503e-06,6.83020937090082e-05,0.009411287887988824
CENPO,-0.1396094106200746,0.0798195174180984,-1.7490635766286824,0.0,0.0840125413512058,0.3148646335123923,0.24733111778585717,0.951954543858324
TRIM54,-0.18232695979543012,0.1428535618500393,-1.2763207121627675,0.0,0.2054040379155091,0.5069277685845317,0.3949299540754688,0.9972311548296766
CYP2C8,-0.08625503672627824,0.13462152795682103,-0.6407224612243592,0.0,0.5236228726152123,0.784712372467986,0.6623542470026494,0.9972311548296766
LOXL4,-0.15520459601201173,0.18708757298013573,-0.8295826042304305,0.0,0.4095322219437465,0.7031927417250442,0.5757260208281532,0.9972311548296766
BTBD16,-0.06657999372506501,0.26140477102919246,-0.2547007595268017,0.0,0.7995880688524571,0.9223534176683068,0.8534885803610921,0.9972311548296766
