"","gene_names"
"981","TRMT13"
"982","LRRC39"
"983","DBT"
"984","RTCA-AS1"
"985","RTCA"
"986","CDC14A"
"987","GPR88"
"988","LINC01349"
"989","EXTL2"
"990","AC104506.1"
"991","SLC30A7"
"992","DPH5"
"993","AC093157.1"
"994","LINC01709"
"995","OLFM3"
"996","AC114485.1"
"997","COL11A1"
"998","AC095032.2"
"999","RNPC3"
"1000","AMY2B"
"1001","AMY2A"
"1002","LINC01676"
"1003","AL355306.2"
"1004","PRMT6"
"1005","NTNG1"
"1006","VAV3"
"1007","VAV3-AS1"
"1008","SLC25A24"
"1009","AL359258.2"
"1010","FAM102B"
"1011","HENMT1"
"1012","PRPF38B"
"1013","FNDC7"
"1014","STXBP3"
"1015","AKNAD1"
"1016","AL449266.1"
"1017","GPSM2"
"1018","WDR47"
"1019","TAF13"
"1020","AL356488.3"
"1021","TMEM167B"
"1022","AL356488.2"
"1023","C1ORF194"
"1024","KIAA1324"
"1025","SARS"
"1026","CELSR2"
"1027","PSRC1"
"1028","MYBPHL"
"1029","SORT1"
"1030","PSMA5"
"1031","SYPL2"
"1032","ATXN7L2"
"1033","CYB561D1"
"1034","AMIGO1"
"1035","GPR61"
"1036","GNAI3"
"1037","GNAT2"
"1038","AMPD2"
"1039","GSTM4"
"1040","GSTM2"
"1041","GSTM3"
"1042","LINC01768"
"1043","CSF1"
"1044","AHCYL1"
"1045","STRIP1"
"1046","LINC01397"
"1047","SLC6A17"
"1048","AL355990.1"
"1049","KCNC4"
"1050","RBM15-AS1"
"1051","RBM15"
"1052","SLC16A4"
"1053","AL355488.1"
"1054","LAMTOR5"
"1055","KCNA2"
"1056","AL365361.1"
"1057","KCNA3"
"1058","CD53"
"1059","AL360270.1"
"1060","LRIF1"
"1061","DRAM2"
"1062","CEPT1"
"1063","AL355816.2"
"1064","CHI3L2"
"1065","PIFO"
"1066","OVGP1"
"1067","WDR77"
"1068","ATP5PB"
"1069","C1ORF162"
"1070","TMIGD3"
"1071","RAP1A"
"1072","INKA2"
"1073","AL049557.1"
"1074","DDX20"
"1075","KCND3"
"1076","LINC01750"
"1077","AL445426.1"
"1078","CTTNBP2NL"
"1079","WNT2B"
"1080","AL354760.1"
"1081","ST7L"
"1082","CAPZA1"
"1083","MOV10"
"1084","RHOC"
"1085","LINC01356"
"1086","AL390729.1"
"1087","SLC16A1"
"1088","SLC16A1-AS1"
"1089","AL357055.3"
"1090","LRIG2"
"1091","MAGI3"
"1092","PHTF1"
"1093","RSBN1"
"1094","AL137856.1"
"1095","PTPN22"
"1096","AP4B1-AS1"
"1097","BCL2L15"
"1098","AP4B1"
"1099","DCLRE1B"
"1100","HIPK1-AS1"
"1101","HIPK1"
"1102","OLFML3"
"1103","SYT6"
"1104","TRIM33"
"1105","BCAS2"
"1106","DENND2C"
"1107","AMPD1"
"1108","NRAS"
"1109","CSDE1"
"1110","SIKE1"
"1111","SYCP1"
"1112","TSPAN2"
"1113","AL512638.2"
"1114","NGF"
"1115","VANGL1"
"1116","CASQ2"
"1117","NHLH2"
"1118","SLC22A15"
"1119","MAB21L3"
"1120","ATP1A1"
"1121","LINC01762"
"1122","AL390066.1"
"1123","CD58"
"1124","IGSF3"
"1125","AL157904.1"
"1126","PTGFRN"
"1127","CD101"
"1128","AL445231.1"
"1129","TTF2"
"1130","TRIM45"
"1131","VTCN1"
"1132","AL358072.1"
"1133","MAN1A2"
"1134","TENT5C"
"1135","GDAP2"
"1136","WDR3"
"1137","SPAG17"
"1138","TBX15"
"1139","WARS2"
"1140","AL359915.2"
"1141","AL359915.1"
"1142","LINC01780"
"1143","HSD3B1"
"1144","ZNF697"
"1145","PHGDH"
"1146","NOTCH2"
"1147","SEC22B"
"1148","NBPF26"
"1149","LINC00623"
"1150","AC244453.3"
"1151","AC244453.1"
"1152","SRGAP2C"
"1153","SRGAP2-AS1"
"1154","AC244021.1"
"1155","AL592494.3"
"1156","AC239800.2"
"1157","AC239800.3"
"1158","AC246680.1"
"1159","AC245595.1"
"1160","AC246785.3"
"1161","NBPF15"
"1162","LINC01632"
"1163","FP700111.1"
"1164","SRGAP2B"
"1165","AC245014.1"
"1166","NBPF20"
"1167","GPR89A"
"1168","PDZK1"
"1169","CD160"
"1170","RNF115"
"1171","POLR3C"
"1172","NUDT17"
"1173","PIAS3"
"1174","ANKRD35"
"1175","ITGA10"
"1176","PEX11B"
"1177","RBM8A"
"1178","LIX1L"
"1179","ANKRD34A"
"1180","POLR3GL"
"1181","TXNIP"
"1182","HJV"
"1183","LINC01719"
"1184","NBPF10"
"1185","AC245407.2"
"1186","NBPF12"
"1187","AC244394.2"
"1188","PRKAB2"
"1189","AC242426.2"
"1190","FMO5"
"1191","CHD1L"
"1192","LINC00624"
"1193","BCL9"
"1194","ACP6"
"1195","GPR89B"
"1196","AC239803.2"
"1197","AC239803.3"
"1198","NBPF11"
"1199","AC239809.3"
"1200","AC239803.1"
"1201","LINC01731"
"1202","AC245100.1"
"1203","AC245100.7"
"1204","PPIAL4G"
"1205","NBPF14"
"1206","NUDT4B"
"1207","PDE4DIP"
"1208","AC239802.2"
"1209","AC239804.1"
"1210","NBPF9"
"1211","AC245297.3"
"1212","AC245297.2"
"1213","NBPF19"
"1214","HIST2H2BF"
"1215","AC239868.3"
"1216","AC239868.2"
"1217","HIST2H2BE"
"1218","BOLA1"
"1219","SV2A"
"1220","SF3B4"
"1221","MTMR11"
"1222","OTUD7B"
"1223","VPS45"
"1224","PLEKHO1"
"1225","ANP32E"
"1226","APH1A"
"1227","C1ORF54"
"1228","CIART"
"1229","MRPS21"
"1230","PRPF3"
"1231","RPRD2"
"1232","TARS2"
"1233","ECM1"
"1234","FALEC"
"1235","AL356356.1"
"1236","MCL1"
"1237","ENSA"
"1238","GOLPH3L"
"1239","HORMAD1"
"1240","CTSS"
"1241","CTSK"
"1242","ARNT"
"1243","CTXND2"
"1244","SETDB1"
"1245","CERS2"
"1246","ANXA9"
"1247","MINDY1"
"1248","PRUNE1"
"1249","BNIPL"
"1250","C1ORF56"
"1251","CDC42SE1"
"1252","MLLT11"
"1253","GABPB2"
"1254","SEMA6C"
"1255","SCNM1"
"1256","LYSMD1"
"1257","VPS72"
"1258","PIP5K1A"
"1259","PSMD4"
"1260","ZNF687"
"1261","PI4KB"
"1262","RFX5"
"1263","PSMB4"
"1264","POGZ"
"1265","CGN"
"1266","TUFT1"
"1267","SNX27"
"1268","AL589765.1"
"1269","CELF3"
"1270","RIIAD1"
"1271","AL589765.7"
"1272","MRPL9"
"1273","OAZ3"
"1274","AL589765.4"
"1275","TDRKH"
"1276","TDRKH-AS1"
"1277","AL589765.6"
"1278","RORC"
"1279","C2CD4D"
"1280","AL450992.2"
"1281","THEM4"
"1282","S100A10"
"1283","S100A11"
"1284","TCHH"
"1285","FLG-AS1"
"1286","LOR"
"1287","S100A7"
"1288","S100A6"
"1289","S100A16"
"1290","S100A13"
"1291","S100A1"
"1292","AL162258.2"
"1293","CHTOP"
"1294","SNAPIN"
"1295","ILF2"
"1296","NPR1"
"1297","INTS3"
"1298","SLC27A3"
"1299","GATAD2B"
"1300","AL358472.5"
"1301","DENND4B"
"1302","CRTC2"
"1303","SLC39A1"
"1304","AL358472.4"
"1305","CREB3L4"
"1306","JTB"
"1307","AL358472.2"
"1308","RPS27"
"1309","NUP210L"
"1310","TPM3"
"1311","C1ORF189"
"1312","C1ORF43"
"1313","UBAP2L"
"1314","HAX1"
"1315","ATP8B2"
"1316","IL6R-AS1"
"1317","IL6R"
"1318","SHE"
"1319","TDRD10"
"1320","UBE2Q1"
"1321","CHRNB2"
"1322","ADAR"
"1323","KCNN3"
