"","gene_names"
"1189","MARK3"
"1190","SLC25A3"
"1191","FNDC3B"
"1192","FOSL2"
"1193","CACNG5"
"1194","CACNG4"
"1195","FRYL"
"1196","TMEM131"
"1197","FSCN1"
"1198","ACTB"
"1199","MOCOS"
"1200","PLD1"
"1201","ATP12A"
"1202","WDR62"
"1203","DLG1"
"1204","RAB7A"
"1205","BCAP29"
"1206","SEC31B"
"1207","SART3"
"1208","ARHGAP15"
"1209","TUBA3D"
"1210","PAX2"
"1211","EXOSC7"
"1212","KIFAP3"
"1213","MKRN2"
"1214","MCM6"
"1215","REXO2"
"1216","RBM7"
"1217","RBMS2"
"1218","BAZ2A"
"1219","PTPN23"
"1220","MLH1"
"1221","UNG"
"1222","KLHL20"
"1223","RGS11"
"1224","SLC46A1"
"1225","PLXNA2"
"1226","SPAG5"
"1227","ANKRD13A"
"1228","TPD52"
"1229","ACACB"
"1230","TRAF4"
"1231","PAG1"
"1232","GPATCH1"
"1233","NT5C2"
"1234","MCAM"
"1235","GPC4"
"1236","MBNL3"
"1237","CAMSAP3"
"1238","RAP1GAP"
"1239","XAB2"
"1240","ARHGEF1"
"1241","STXBP2"
"1242","MAP2K7"
"1243","DGKD"
"1244","CTTNBP2"
"1245","ACTL6B"
"1246","RARB"
"1247","TOP2B"
"1248","TM9SF3"
"1249","UBE2T"
"1250","PPP1R12B"
"1251","DNAJC10"
"1252","GTF3C1"
"1253","IL4R"
"1254","USP33"
"1255","PAK3"
"1256","DCX"
"1257","SNRPA"
"1258","SPAG6"
"1259","EXOSC5"
"1260","DYNC1I2"
"1261","APBB1IP"
"1262","LRCH4"
"1263","FAM76B"
"1264","SIRT6"
"1265","TYR"
"1266","POLD3"
"1267","ACTN2"
"1268","CAPZB"
"1269","GPR137B"
"1270","NAALAD2"
"1271","JADE1"
"1272","SLC25A43"
"1273","UBE2A"
"1274","FGFR1"
"1275","SMC1B"
"1276","FBLN1"
"1277","ITGA8"
"1278","MAP2"
"1279","PIAS2"
"1280","AMPH"
"1281","ARAF"
"1282","MCCC1"
"1283","LAMP3"
"1284","FAP"
"1285","NEBL"
"1286","ACER3"
"1287","UBE2K"
"1288","PIK3C3"
"1289","N4BP2"
"1290","TIGAR"
"1291","TULP3"
"1292","SYNJ2"
"1293","ADCY2"
"1294","PPP2R5C"
"1295","RBFOX1"
"1296","GNB1"
"1297","EDN1"
"1298","MLLT10"
"1299","ZCWPW1"
"1300","ADCYAP1R1"
"1301","FGF20"
"1302","ITM2A"
"1303","NRDC"
"1304","VDAC3"
"1305","PCM1"
"1306","TNRC6C"
"1307","CBFA2T2"
"1308","BRINP1"
"1309","ITCH"
"1310","PKD2L2"
"1311","TP53INP2"
"1312","SDF4"
"1313","MYH7B"
"1314","TOLLIP"
"1315","UBE2D4"
"1316","CLUL1"
"1317","RUNX1T1"
"1318","CDH17"
"1319","THOC1"
"1320","FKBP7"
"1321","OSBPL6"
"1322","SLC1A3"
"1323","XRCC5"
"1324","LXN"
"1325","SP140"
"1326","MKNK1"
"1327","TNS1"
"1328","REXO1"
"1329","SAR1A"
"1330","CDC14A"
"1331","RAPGEF3"
"1332","CEACAM1"
"1333","SENP1"
"1334","CIC"
"1335","LIPE"
"1336","FDFT1"
"1337","PAFAH1B3"
"1338","OPHN1"
"1339","KIF22"
"1340","SCGN"
"1341","CARMIL1"
"1342","PGM1"
"1343","DDX1"
"1344","DNM2"
"1345","EPB41L2"
"1346","RIMS1"
"1347","MOXD1"
"1348","STX7"
"1349","RABL2B"
"1350","KEAP1"
"1351","DDX43"
"1352","PTPRH"
"1353","DCT"
"1354","SLC35C2"
"1355","CRYBG3"
"1356","EPHA6"
"1357","SCTR"
"1358","RFX3"
"1359","RIF1"
